Date,SP_Composite,Dividend,Earnings,CPI,Date_Fraction,Long_Rate_GS10,Real_Price,Real_Dividend,Real_Total_Return_Price,Real_Earnings,Year
1968.06,100.5,2.99,5.57,34.7,1968.4583333332448,5.72,886.6228746397692,26.37813328530259,124224.91663754344,49.13919812680114,1968.0
1968.07,100.3,3.00333,5.6,34.9,1968.541666666578,5.5,879.787628939828,26.343894113896845,123574.81630788234,49.12074498567334,1968.0
1968.08,98.11,3.01667,5.63,35,1968.6249999999113,5.42,858.1191149999999,26.385304154999993,120840.1002342281,49.242794999999994,1968.0
1968.09,101.3,3.03,5.66,35.1,1968.7083333332446,5.46,883.496175213675,26.426391025641017,124723.80404641331,49.364149572649566,1968.0
1968.1,103.8,3.04333,5.69333,35.3,1968.7916666665778,5.58,900.1709490084985,26.392266418555238,127388.27874829328,49.37350933640226,1968.0
1968.11,105.4,3.05667,5.72667,35.4,1968.874999999911,5.7,911.4643644067795,26.433071904661013,129298.19824191899,49.522349447033896,1968.0
1968.12,106.5,3.07,5.76,35.5,1968.9583333332444,6.03,918.3824999999998,26.47356126760563,130592.54518647585,49.67026478873238,1968.0
1969.01,102,3.08,5.78,35.6,1969.0416666665776,6.04,877.1068820224717,26.485188202247187,125037.0633172759,49.702723314606736,1969.0
1969.02,101.5,3.09,5.8,35.8,1969.1249999999109,6.19,867.9313198324021,26.42273673184357,124042.92347192306,49.59607541899441,1969.0
1969.03,99.3,3.1,5.82,36.1,1969.2083333332441,6.3,842.0626246537395,26.287957063711907,120658.90879772598,49.35351939058171,1969.0
1969.04,101.3,3.11,5.82667,36.3,1969.2916666665774,6.17,854.2896900826445,26.227452479338837,122724.0984537688,49.13784904752066,1969.0
1969.05,104.6,3.12,5.83333,36.4,1969.3749999999106,6.32,879.6960576923075,26.239499999999996,126688.0057570804,49.05886619711538,1969.0
1969.06,99.14,3.13,5.84,36.6,1969.458333333244,6.57,829.2207745901637,26.179756147540978,119733.07572421247,48.84657377049179,1969.0
1969.07,94.71,3.13667,5.85667,36.8,1969.5416666665772,6.72,787.8623783967389,26.092960473505432,114075.21122539086,48.71977569089674,1969.0
1969.08,94.18,3.14333,5.87333,37,1969.6249999999104,6.69,779.2185932432432,26.007020393918914,113137.4688708478,48.59426566418918,1969.0
1969.09,94.51,3.15,5.89,37.1,1969.7083333332437,7.16,779.8412405660375,25.991957547169807,113542.36180096999,48.60083490566036,1969.0
